cve_id,change_type,date_updated,shard,run_utc
CVE-2021-32084,updated,2026-07-28,cve_2022_and_before,2026-07-29T09:34:47+00:00
CVE-2021-32085,updated,2026-07-28,cve_2022_and_before,2026-07-29T09:34:47+00:00
CVE-2021-32086,updated,2026-07-28,cve_2022_and_before,2026-07-29T09:34:47+00:00
CVE-2021-32087,updated,2026-07-28,cve_2022_and_before,2026-07-29T09:34:47+00:00
CVE-2021-32088,updated,2026-07-28,cve_2022_and_before,2026-07-29T09:34:47+00:00
CVE-2022-3534,updated,2026-07-28,cve_2022_and_before,2026-07-29T09:34:47+00:00
CVE-2022-3636,updated,2026-07-28,cve_2022_and_before,2026-07-29T09:34:47+00:00
CVE-2023-4244,updated,2026-07-28,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2024-14041,updated,,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2024-21538,updated,2026-07-28,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-3512,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-4211,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-5318,updated,2026-07-28,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-5455,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-5683,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-5991,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-5992,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-6338,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-10656,added,,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-10728,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-10729,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-12385,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-12543,updated,2026-07-28,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-13465,updated,2026-07-28,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-14575,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-14576,updated,2026-07-29,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-15467,updated,2026-07-28,cve_2023_to_2025,2026-07-29T09:34:47+00:00
CVE-2025-48431,updated,2026-07-28,cve_2023_to_2025,2026-07-29T09:34:47+00:00
